checklist,taxonID,exemplar id,canonicalName
0,54767753,13932,Mammalia
0,54774535,13933,Artiodactyla
0,54774536,13934,Tragulidae
0,55046067,13935,Tragulus
0,35497722,29,Tragulus kanchil
0,35497909,0,Tragulus kanchil subrufus
0,35497908,1,Tragulus kanchil siantanicus
0,35497905,2,Tragulus kanchil rubeus
0,35497904,3,Tragulus kanchil ravus
0,35497907,4,Tragulus kanchil russulus
0,35497906,5,Tragulus kanchil russeus
0,35497900,6,Tragulus kanchil penangensis
0,35497901,7,Tragulus kanchil pidonis
0,35497902,8,Tragulus kanchil pinius
0,35497903,9,Tragulus kanchil ravulus
0,35497896,10,Tragulus kanchil luteicollis
0,35497897,11,Tragulus kanchil masae
0,35497898,12,Tragulus kanchil mergatus
0,35497899,13,Tragulus kanchil pallidus
0,35497892,14,Tragulus kanchil klossi
0,35497893,15,Tragulus kanchil lampensis
0,35497894,16,Tragulus kanchil lancavensis
0,35497895,17,Tragulus kanchil longipes
0,35497888,18,Tragulus kanchil fulvicollis
0,35497889,19,Tragulus kanchil fulviventer
0,35497890,20,Tragulus kanchil hosei
0,35497891,21,Tragulus kanchil insularis
0,35497887,22,Tragulus kanchil everetti
0,35497886,23,Tragulus kanchil carimatae
0,35497885,24,Tragulus kanchil brevipes
0,35497884,25,Tragulus kanchil angustiae
0,35497883,26,Tragulus kanchil anambensis
0,35497882,27,Tragulus kanchil affinis
0,35497881,28,Tragulus kanchil abruptus
0,35497880,29,Tragulus kanchil kanchil
0,35497723,30,Tragulus nigricans
0,35497725,31,Tragulus williamsoni
0,35497724,32,Tragulus versicolor
0,35492035,42,Tragulus napu
0,35497917,33,Tragulus napu flavicollis
0,35497916,34,Tragulus napu bunguranensis
0,35497919,35,Tragulus napu lutescens
0,35497918,36,Tragulus napu hendersoni
0,35497913,37,Tragulus napu banguei
0,35497912,38,Tragulus napu bancanus
0,35497915,39,Tragulus napu billitonus
0,35497914,40,Tragulus napu batuanus
0,35497911,41,Tragulus napu amoenus
0,35497910,42,Tragulus napu napu
0,35497928,43,Tragulus napu stanleyanus
0,35497929,44,Tragulus napu terutus
0,35497922,45,Tragulus napu nigricollis
0,35497923,46,Tragulus napu nigrocinctus
0,35497920,47,Tragulus napu neubronneri
0,35497921,48,Tragulus napu niasis
0,35497926,49,Tragulus napu rufulus
0,35497927,50,Tragulus napu sebucus
0,35497924,51,Tragulus napu parallelus
0,35497925,52,Tragulus napu pretiellus
0,35492034,54,Tragulus javanicus
0,35497773,53,Tragulus javanicus
0,54944522,13936,Moschiola
0,35492033,55,Moschiola meminna
0,54902950,13937,Hyemoschus
0,35492032,56,Hyemoschus aquaticus
0,54774537,13938,Tayassuidae
0,35490432,61,Tayassu pecari
0,35497868,57,Tayassu pecari ringens
0,35497869,58,Tayassu pecari spiradens
0,35497866,59,Tayassu pecari aequatoris
0,35497867,60,Tayassu pecari albirostris
0,35497865,61,Tayassu pecari pecari
0,54975543,13939,Pecari
0,35490431,71,Pecari tajacu
0,35497864,62,Pecari tajacu yucatanensis
0,35497862,63,Pecari tajacu sonoriensis
0,35497863,64,Pecari tajacu torvus
0,35497860,65,Pecari tajacu nigrescens
0,35497861,66,Pecari tajacu patira
0,35497858,67,Pecari tajacu nelsoni
0,35497859,68,Pecari tajacu niger
0,35497852,69,Pecari tajacu angulatus
0,35497853,70,Pecari tajacu bangsi
0,35497851,71,Pecari tajacu tajacu
0,35497856,72,Pecari tajacu humeralis
0,35497857,73,Pecari tajacu nanus
0,35497854,74,Pecari tajacu crassus
0,35497855,75,Pecari tajacu crusnigrum
0,35489830,71,Tayassu tajacu
0,54828582,13940,Catagonus
0,35492021,76,Catagonus wagneri
0,54774545,13941,Antilocapridae
0,54800220,13942,Antilocapra
0,35489827,79,Antilocapra americana
0,35489885,77,Antilocapra americana oregona
0,35489890,78,Antilocapra americana mexicana
0,35489964,79,Antilocapra americana americana
0,35489965,80,Antilocapra americana sonoriensis
0,35489319,81,Antilocapra americana peninsularis
0,35489889,82,Antilocapra anteflexa
0,35490129,79,Antilope americana
0,54774544,13943,Bovidae
0,54993733,13944,Procapra
0,35492114,83,Procapra gutturosa
0,35492115,84,Procapra picticaudata
0,35492116,86,Procapra przewalskii
0,35498224,85,Procapra przewalskii diversicornis
0,35498223,86,Procapra przewalskii przewalskii
0,55046010,13945,Tragelaphus
0,35492134,89,Tragelaphus strepsiceros
0,35498276,87,Tragelaphus strepsiceros bea
0,35498277,88,Tragelaphus strepsiceros burlacei
0,35498275,89,Tragelaphus strepsiceros strepsiceros
0,35498278,90,Tragelaphus strepsiceros chora
0,35498279,91,Tragelaphus strepsiceros zambesiensis
0,35492131,92,Tragelaphus imberbis
0,35492130,93,Tragelaphus eurycerus
0,35492133,96,Tragelaphus spekii
0,35498272,94,Tragelaphus spekii larkenii
0,35498273,95,Tragelaphus spekii selousi
0,35498270,96,Tragelaphus spekii spekii
0,35498271,97,Tragelaphus spekii gratus
0,35498274,98,Tragelaphus spekii sylvestris
0,35492132,102,Tragelaphus scriptus
0,35498265,99,Tragelaphus scriptus fasciatus
0,35498264,100,Tragelaphus scriptus decula
0,35498263,101,Tragelaphus scriptus bor
0,35498262,102,Tragelaphus scriptus scriptus
0,35498268,103,Tragelaphus scriptus ornatus
0,35498269,104,Tragelaphus scriptus sylvaticus
0,35498266,105,Tragelaphus scriptus knutsoni
0,35498267,106,Tragelaphus scriptus meneliki
0,35492129,107,Tragelaphus buxtoni
0,35492128,108,Tragelaphus angasii
0,55037776,13946,Taurotragus
0,35492125,110,Taurotragus derbianus
0,35498255,109,Taurotragus derbianus gigas
0,35498254,110,Taurotragus derbianus derbianus
0,35492126,112,Taurotragus oryx
0,35498257,111,Taurotragus oryx livingstonei
0,35498256,112,Taurotragus oryx oryx
0,35498258,113,Taurotragus oryx pattersonianus
0,54787348,13947,Addax
0,35492175,114,Addax nasomaculatus
0,54791028,13948,Alcelaphus
0,35497747,115,Alcelaphus caama
0,35497748,116,Alcelaphus lichtensteinii
0,35492083,116,Sigmoceros lichtensteinii
0,35492077,117,Alcelaphus buselaphus
0,35498128,117,Alcelaphus buselaphus buselaphus
0,35498130,118,Alcelaphus buselaphus lelwel
0,35498129,119,Alcelaphus buselaphus cokii
0,35498133,120,Alcelaphus buselaphus tora
0,35498131,121,Alcelaphus buselaphus major
0,35498132,122,Alcelaphus buselaphus swaynei
0,54788483,13949,Aepyceros
0,35492076,128,Aepyceros melampus
0,35498124,123,Aepyceros melampus katangae
0,35498123,124,Aepyceros melampus johnstoni
0,35498126,125,Aepyceros melampus rendilis
0,35498125,126,Aepyceros melampus petersi
0,35498127,127,Aepyceros melampus suara
0,35498122,128,Aepyceros melampus melampus
0,54794615,13950,Ammotragus
0,35489828,129,Ammotragus lervia
0,35498280,129,Ammotragus lervia lervia
0,35498281,130,Ammotragus lervia angusi
